iteration,L1,L2,Gradient,BCE
50,0.06327,0.0372,0.04478,0.68228
100,0.06353,0.03711,0.04494,0.68147
150,0.06336,0.03679,0.04472,0.678
200,0.0633,0.03644,0.04473,0.67402
250,0.06337,0.03609,0.04468,0.66973
300,0.06298,0.03558,0.04466,0.66209
350,0.06229,0.035,0.04423,0.65355
400,0.06206,0.03458,0.0442,0.64498
450,0.06237,0.03442,0.04442,0.64007
500,0.06194,0.03394,0.04444,0.63178
550,0.06197,0.03362,0.04448,0.62328
600,0.06182,0.03324,0.0446,0.61504
650,0.06132,0.03272,0.04439,0.60992
700,0.06063,0.03217,0.04434,0.60077
750,0.06001,0.03166,0.04428,0.59116
800,0.05955,0.03125,0.04449,0.58157
850,0.05945,0.03099,0.04443,0.5752
900,0.05941,0.03065,0.04468,0.56867
950,0.05959,0.03047,0.04514,0.56093
1000,0.05914,0.03002,0.04521,0.55422
1050,0.0583,0.02946,0.04467,0.54644
1100,0.05785,0.02904,0.04485,0.53898
1150,0.05753,0.02865,0.04474,0.53228
1200,0.05744,0.02828,0.0451,0.52605
1250,0.05739,0.02798,0.04528,0.52077
1300,0.05669,0.02753,0.04476,0.51298
1350,0.05624,0.02714,0.04469,0.50625
1400,0.05628,0.02685,0.04536,0.50144
1450,0.05575,0.02646,0.04518,0.4944
1500,0.05538,0.02608,0.04515,0.49018
1550,0.05478,0.02565,0.04484,0.48404
1600,0.0545,0.02536,0.04498,0.47773
1650,0.05434,0.02507,0.04505,0.47138
1700,0.05432,0.02494,0.0455,0.46911
1750,0.05414,0.02461,0.04561,0.46249
1800,0.05351,0.0242,0.04513,0.45791
1850,0.05315,0.02389,0.04544,0.45206
1900,0.05261,0.02351,0.0453,0.44554
1950,0.05212,0.02313,0.04513,0.44237
2000,0.05177,0.02282,0.04497,0.43578
2050,0.05144,0.02253,0.04522,0.43144
2100,0.05149,0.02232,0.04573,0.43056
2150,0.05084,0.02194,0.04578,0.42515
2200,0.0505,0.02164,0.04557,0.42017
2250,0.05003,0.02128,0.04539,0.41519
2300,0.0499,0.02101,0.04605,0.41341
2350,0.04964,0.02074,0.04622,0.40815
2400,0.04929,0.02044,0.04603,0.40354
2450,0.04881,0.0201,0.04601,0.39824
2500,0.04824,0.01977,0.04559,0.39338
2550,0.04784,0.01946,0.04574,0.39008
2600,0.04785,0.01927,0.0461,0.38592
2650,0.04742,0.01898,0.04577,0.3825
2700,0.04731,0.01879,0.04574,0.37896
2750,0.04699,0.01865,0.04564,0.37595
2800,0.04708,0.01849,0.04627,0.3716
2850,0.04661,0.01819,0.04626,0.36658
2900,0.04611,0.01786,0.04619,0.36339
2950,0.0456,0.01758,0.04606,0.35788
3000,0.04544,0.01734,0.04626,0.35573
3050,0.04523,0.01714,0.04625,0.35167
3100,0.04458,0.01682,0.04584,0.34577
3150,0.04427,0.01658,0.04629,0.34174
3200,0.04401,0.01638,0.0465,0.33856
3250,0.04372,0.01615,0.04645,0.33712
3300,0.04332,0.01589,0.04686,0.33298
3350,0.04289,0.01565,0.04645,0.32888
3400,0.04225,0.01536,0.04572,0.32631
3450,0.04206,0.01515,0.0456,0.32291
3500,0.04205,0.01501,0.04559,0.31979
3550,0.04159,0.01475,0.04512,0.31821
3600,0.04112,0.01452,0.04536,0.3137
3650,0.04088,0.01431,0.04521,0.31101
3700,0.04061,0.01412,0.04488,0.30989
3750,0.04042,0.01394,0.04518,0.30685
3800,0.04025,0.01376,0.04504,0.30376
3850,0.04017,0.01366,0.04481,0.30163
3900,0.03978,0.01345,0.04452,0.29796
3950,0.03991,0.0134,0.04514,0.29591
4000,0.03967,0.01324,0.04489,0.29336
4050,0.0393,0.01302,0.04485,0.28997
4100,0.03891,0.0128,0.0447,0.28722
