epoch,iteration,val E_T1 (%),val E_T2 (%),val E_tot (%),PrioStitch E_T1 (%),PrioStitch E_T2 (%),PrioStitch E_tot (%)
1,5040,11.415,10.885,11.051,30.615,5.209,9.084
2,10080,7.997,9.185,8.814,23.634,5.281,8.08
3,15120,6.645,8.601,7.989,17.214,5.651,7.414
4,20160,6.78,6.675,6.707,12.495,6.621,7.517
5,25200,7.17,5.169,5.795,10.456,8.259,8.594
6,30240,7.08,4.597,5.374,9.328,9.191,9.212
7,35280,7.027,4.132,5.038,8.405,9.768,9.56
8,40320,6.735,3.977,4.84,7.238,10.233,9.776
9,45360,6.835,3.495,4.54,7.245,9.224,8.922
10,50400,6.815,3.217,4.342,6.705,8.858,8.529
11,55440,6.651,3.123,4.227,6.729,8.705,8.404
12,60480,6.62,2.912,4.072,6.261,8.867,8.469
13,65520,6.771,2.636,3.929,6.063,8.671,8.273
14,70560,7.062,2.251,3.756,6.307,8.114,7.839
15,75600,6.914,2.166,3.651,6.098,7.821,7.558
16,80640,6.972,1.961,3.529,5.988,7.59,7.346
17,85680,6.915,1.841,3.428,5.88,7.752,7.466
18,90720,6.784,1.817,3.371,5.653,7.6,7.303
19,95760,6.81,1.677,3.283,5.509,7.758,7.415
20,100800,6.742,1.64,3.236,5.429,7.686,7.342
21,105840,6.791,1.512,3.164,5.416,7.289,7.003
22,110880,6.834,1.446,3.132,5.363,7.313,7.016
23,115920,6.785,1.394,3.08,5.052,7.147,6.828
24,120960,6.666,1.366,3.024,4.88,7.556,7.148
25,126000,6.563,1.334,2.97,4.809,7.622,7.193
26,131040,6.355,1.375,2.933,4.705,7.653,7.203
27,136080,6.337,1.34,2.903,4.634,7.197,6.806
28,141120,6.214,1.403,2.908,4.545,7.258,6.844
29,146160,6.206,1.341,2.863,4.462,7.168,6.755
30,151200,6.277,1.238,2.814,4.337,7.272,6.824
31,156240,6.328,1.201,2.805,4.208,6.878,6.47
32,161280,6.215,1.204,2.772,4.218,6.515,6.165
33,166320,6.218,1.178,2.754,4.116,6.404,6.055
34,171360,6.086,1.178,2.713,4.228,6.344,6.021
35,176400,6.015,1.193,2.702,4.028,6.176,5.848
36,181440,6.008,1.18,2.691,4.021,5.805,5.533
37,186480,5.936,1.176,2.665,3.959,5.601,5.351
38,191520,5.982,1.107,2.632,3.997,5.518,5.286
39,196560,5.791,1.174,2.618,3.906,5.421,5.19
40,201600,5.756,1.152,2.592,3.807,5.378,5.139
41,206640,5.833,1.13,2.602,3.941,5.329,5.117
42,211680,5.819,1.104,2.579,3.851,5.429,5.188
43,216720,5.782,1.074,2.546,3.9,5.452,5.215
44,221760,5.904,1.043,2.563,3.835,5.447,5.201
45,226800,5.802,1.073,2.553,3.831,5.809,5.508
46,231840,5.716,1.11,2.551,3.785,5.62,5.34
47,236880,5.793,1.046,2.531,3.819,5.258,5.039
48,241920,5.844,1.044,2.545,3.723,5.069,4.864
49,246960,5.768,1.048,2.525,3.708,4.942,4.754
50,252000,5.788,1.018,2.51,3.641,4.881,4.691
