epoch,iteration,val MCC,PrioStitch MCC,val mIoU,PrioStitch mIoU
1,5040,0.7543,0.6462,0.781,0.7183
2,10080,0.8045,0.695,0.8209,0.7495
3,15120,0.8232,0.7312,0.8362,0.7726
4,20160,0.8486,0.7419,0.8592,0.7765
5,25200,0.8671,0.7219,0.876,0.7571
6,30240,0.8762,0.7116,0.8841,0.7466
7,35280,0.8836,0.7073,0.8907,0.7413
8,40320,0.8881,0.707,0.8947,0.7388
9,45360,0.8947,0.7254,0.9006,0.7547
10,50400,0.8991,0.736,0.9045,0.7629
11,55440,0.9017,0.7388,0.9069,0.7653
12,60480,0.9052,0.7389,0.9101,0.7646
13,65520,0.9084,0.744,0.9129,0.7687
14,70560,0.9122,0.7532,0.9163,0.7772
15,75600,0.9147,0.7605,0.9185,0.7832
16,80640,0.9175,0.7659,0.921,0.7878
17,85680,0.9198,0.7634,0.9232,0.7853
18,90720,0.9212,0.768,0.9244,0.789
19,95760,0.9232,0.7658,0.9262,0.7868
20,100800,0.9243,0.7678,0.9272,0.7885
21,105840,0.926,0.776,0.9287,0.7957
22,110880,0.9268,0.7758,0.9294,0.7955
23,115920,0.928,0.7814,0.9305,0.7999
24,120960,0.9293,0.7741,0.9317,0.7932
25,126000,0.9306,0.7733,0.9329,0.7923
26,131040,0.9314,0.7733,0.9338,0.7922
27,136080,0.9321,0.7832,0.9344,0.8008
28,141120,0.932,0.7825,0.9343,0.8001
29,146160,0.9331,0.7849,0.9353,0.8021
30,151200,0.9342,0.7836,0.9363,0.8007
31,156240,0.9344,0.7927,0.9365,0.8086
32,161280,0.9352,0.8004,0.9372,0.8155
33,166320,0.9356,0.8035,0.9376,0.8181
34,171360,0.9366,0.804,0.9385,0.8188
35,176400,0.9369,0.8091,0.9388,0.823
36,181440,0.9371,0.8173,0.939,0.8304
37,186480,0.9377,0.8224,0.9396,0.8349
38,191520,0.9385,0.824,0.9403,0.8364
39,196560,0.9388,0.8268,0.9406,0.8389
40,201600,0.9394,0.8285,0.9412,0.8402
41,206640,0.9392,0.8287,0.941,0.8406
42,211680,0.9397,0.827,0.9415,0.8389
43,216720,0.9405,0.8262,0.9422,0.8382
44,221760,0.9401,0.8267,0.9418,0.8386
45,226800,0.9404,0.8185,0.942,0.8312
46,231840,0.9404,0.8231,0.9421,0.8353
47,236880,0.9409,0.8312,0.9425,0.8426
48,241920,0.9405,0.8362,0.9422,0.8471
49,246960,0.941,0.8393,0.9427,0.8499
50,252000,0.9414,0.8412,0.943,0.8515
