iteration,learning_rate
50,1.02e-05
300,6.02e-05
550,0.0001
800,0.0001
1050,0.0001
1300,0.0001
1550,0.0001
1800,9.9999e-05
2050,9.9999e-05
2300,9.9999e-05
2550,9.9999e-05
2800,9.9998e-05
3050,9.9998e-05
3300,9.9997e-05
3550,9.9997e-05
3800,9.9996e-05
4050,9.9996e-05
4300,9.9995e-05
4550,9.9994e-05
4800,9.9994e-05
5050,9.9993e-05
5300,9.9992e-05
5550,9.9991e-05
5850,9.999e-05
6100,9.9989e-05
6350,9.9988e-05
6600,9.9987e-05
6850,9.9986e-05
7100,9.9985e-05
7350,9.9984e-05
7600,9.9983e-05
7850,9.9982e-05
8100,9.998e-05
8350,9.9979e-05
8600,9.9978e-05
8850,9.9976e-05
9100,9.9975e-05
9350,9.9973e-05
9600,9.9972e-05
9850,9.997e-05
10100,9.9968e-05
10350,9.9967e-05
10600,9.9965e-05
10850,9.9963e-05
11100,9.9962e-05
11350,9.996e-05
11650,9.9957e-05
11900,9.9956e-05
12150,9.9954e-05
12400,9.9952e-05
12650,9.995e-05
12900,9.9947e-05
13150,9.9945e-05
13400,9.9943e-05
13650,9.9941e-05
13900,9.9939e-05
14150,9.9936e-05
14400,9.9934e-05
14650,9.9932e-05
14900,9.9929e-05
15150,9.9927e-05
15400,9.9924e-05
15650,9.9922e-05
15900,9.9919e-05
16150,9.9916e-05
16400,9.9914e-05
16650,9.9911e-05
16900,9.9908e-05
17150,9.9905e-05
17450,9.9902e-05
17700,9.9899e-05
17950,9.9896e-05
18200,9.9893e-05
18450,9.989e-05
18700,9.9887e-05
18950,9.9884e-05
19200,9.988e-05
19450,9.9877e-05
19700,9.9874e-05
19950,9.9871e-05
20200,9.9867e-05
20450,9.9864e-05
20700,9.9861e-05
20950,9.9857e-05
21200,9.9854e-05
21450,9.985e-05
21700,9.9846e-05
21950,9.9843e-05
22200,9.9839e-05
22450,9.9835e-05
22700,9.9832e-05
23000,9.9827e-05
23250,9.9823e-05
23500,9.9819e-05
23750,9.9815e-05
24000,9.9811e-05
24250,9.9807e-05
24500,9.9803e-05
24750,9.9799e-05
25000,9.9795e-05
25250,9.9791e-05
25500,9.9786e-05
25750,9.9782e-05
26000,9.9778e-05
26250,9.9773e-05
26500,9.9769e-05
26750,9.9765e-05
27000,9.976e-05
27250,9.9756e-05
27500,9.9751e-05
27750,9.9746e-05
28000,9.9742e-05
28250,9.9737e-05
28500,9.9732e-05
28800,9.9726e-05
29050,9.9722e-05
29300,9.9717e-05
29550,9.9712e-05
29800,9.9707e-05
30050,9.9702e-05
30300,9.9697e-05
30550,9.9692e-05
30800,9.9686e-05
31050,9.9681e-05
31300,9.9676e-05
31550,9.9671e-05
31800,9.9665e-05
32050,9.966e-05
32300,9.9655e-05
32550,9.9649e-05
32800,9.9644e-05
33050,9.9638e-05
33300,9.9633e-05
33550,9.9627e-05
33800,9.9621e-05
34050,9.9616e-05
34300,9.961e-05
34600,9.9603e-05
34850,9.9597e-05
35100,9.9591e-05
35350,9.9585e-05
35600,9.9579e-05
35850,9.9573e-05
36100,9.9567e-05
36350,9.9561e-05
36600,9.9555e-05
36850,9.9549e-05
37100,9.9543e-05
37350,9.9536e-05
37600,9.953e-05
37850,9.9524e-05
38100,9.9517e-05
38350,9.9511e-05
38600,9.9504e-05
38850,9.9498e-05
39100,9.9491e-05
39350,9.9485e-05
39600,9.9478e-05
39850,9.9472e-05
40150,9.9463e-05
40400,9.9457e-05
40650,9.945e-05
40900,9.9443e-05
41150,9.9436e-05
41400,9.9429e-05
41650,9.9422e-05
41900,9.9415e-05
42150,9.9408e-05
42400,9.9401e-05
42650,9.9394e-05
42900,9.9387e-05
43150,9.9379e-05
43400,9.9372e-05
43650,9.9365e-05
43900,9.9357e-05
44150,9.935e-05
44400,9.9343e-05
44650,9.9335e-05
44900,9.9327e-05
45150,9.932e-05
45400,9.9312e-05
45650,9.9305e-05
45950,9.9295e-05
46200,9.9288e-05
46450,9.928e-05
46700,9.9272e-05
46950,9.9264e-05
47200,9.9256e-05
47450,9.9248e-05
47700,9.924e-05
47950,9.9232e-05
48200,9.9224e-05
48450,9.9216e-05
48700,9.9208e-05
48950,9.92e-05
49200,9.9191e-05
49450,9.9183e-05
49700,9.9175e-05
49950,9.9166e-05
50200,9.9158e-05
50450,9.9149e-05
50700,9.9141e-05
50950,9.9132e-05
51200,9.9124e-05
51450,9.9115e-05
51750,9.9105e-05
52000,9.9096e-05
52250,9.9087e-05
52500,9.9078e-05
52750,9.9069e-05
53000,9.9061e-05
53250,9.9052e-05
53500,9.9043e-05
53750,9.9034e-05
54000,9.9025e-05
54250,9.9015e-05
54500,9.9006e-05
54750,9.8997e-05
55000,9.8988e-05
55250,9.8979e-05
