epoch,iteration,val RMSE (m),val MAE (m),val E_T1 (%),val E_T2 (%),val E_tot (%),val MCC,val balanced acc,val mIoU,PrioStitch RMSE (m),PrioStitch MAE (m),PrioStitch E_T1 (%),PrioStitch E_T2 (%),PrioStitch E_tot (%),PrioStitch MCC,PrioStitch balanced acc,PrioStitch mIoU
1,5040,5.5325,2.4355,11.4148,10.8854,11.051,0.7543,0.8885,0.781,1.7916,0.4862,30.6154,5.2085,9.0837,0.6462,0.8209,0.7183
2,10080,2.5902,1.141,7.9971,9.1854,8.8136,0.8045,0.9141,0.8209,1.0018,0.3026,23.634,5.2806,8.0799,0.695,0.8554,0.7495
3,15120,1.3596,0.6121,6.6452,8.601,7.9891,0.8232,0.9238,0.8362,0.7142,0.2113,17.2142,5.6507,7.4145,0.7312,0.8857,0.7726
4,20160,0.8164,0.3654,6.7798,6.6745,6.7075,0.8486,0.9327,0.8592,0.6896,0.1865,12.4948,6.6212,7.5171,0.7419,0.9044,0.7765
5,25200,0.6385,0.2724,7.1701,5.1686,5.7947,0.8671,0.9383,0.876,0.669,0.1903,10.4559,8.259,8.5941,0.7219,0.9064,0.7571
6,30240,0.6217,0.2566,7.0805,4.5972,5.3741,0.8762,0.9416,0.8841,0.6618,0.1948,9.3276,9.1914,9.2122,0.7116,0.9074,0.7466
7,35280,0.6299,0.262,7.0266,4.1323,5.0377,0.8836,0.9442,0.8907,0.6372,0.1929,8.4049,9.7681,9.5602,0.7073,0.9091,0.7413
8,40320,0.6382,0.2698,6.7352,3.9773,4.8401,0.8881,0.9464,0.8947,0.6256,0.1936,7.2377,10.2328,9.776,0.707,0.9126,0.7388
9,45360,0.595,0.2523,6.8347,3.4949,4.5397,0.8947,0.9484,0.9006,0.5907,0.1781,7.2446,9.2238,8.922,0.7254,0.9177,0.7547
10,50400,0.581,0.2476,6.8151,3.2167,4.3424,0.8991,0.9498,0.9045,0.5589,0.1681,6.7049,8.8577,8.5294,0.736,0.9222,0.7629
11,55440,0.5719,0.2475,6.6511,3.1229,4.2266,0.9017,0.9511,0.9069,0.5458,0.1631,6.7292,8.7049,8.4035,0.7388,0.9228,0.7653
12,60480,0.5476,0.2372,6.6196,2.9121,4.0719,0.9052,0.9523,0.9101,0.5299,0.16,6.2606,8.8668,8.4693,0.7389,0.9244,0.7646
13,65520,0.5312,0.2291,6.7708,2.6356,3.9292,0.9084,0.953,0.9129,0.5236,0.1558,6.0625,8.6706,8.2728,0.744,0.9263,0.7687
14,70560,0.5014,0.2116,7.0624,2.2509,3.7561,0.9122,0.9534,0.9163,0.5081,0.1462,6.3072,8.1143,7.8387,0.7532,0.9279,0.7772
15,75600,0.4844,0.2034,6.9139,2.1658,3.6511,0.9147,0.9546,0.9185,0.4838,0.1389,6.0984,7.8207,7.558,0.7605,0.9304,0.7832
16,80640,0.4553,0.1852,6.9723,1.9608,3.5285,0.9175,0.9553,0.921,0.4846,0.1354,5.9883,7.5899,7.3456,0.7659,0.9321,0.7878
17,85680,0.4416,0.1742,6.9154,1.8409,3.4283,0.9198,0.9562,0.9232,0.479,0.1321,5.8801,7.7515,7.4661,0.7634,0.9318,0.7853
18,90720,0.4349,0.1697,6.784,1.817,3.3709,0.9212,0.957,0.9244,0.4741,0.1292,5.6527,7.5998,7.3028,0.768,0.9337,0.789
19,95760,0.4163,0.1583,6.8095,1.6772,3.2827,0.9232,0.9576,0.9262,0.4639,0.1247,5.5095,7.7578,7.4149,0.7658,0.9337,0.7868
20,100800,0.4104,0.1511,6.7418,1.6403,3.2362,0.9243,0.9581,0.9272,0.461,0.122,5.4293,7.6857,7.3416,0.7678,0.9344,0.7885
21,105840,0.3969,0.1436,6.791,1.5124,3.1637,0.926,0.9585,0.9287,0.4397,0.1153,5.4156,7.289,7.0033,0.776,0.9365,0.7957
22,110880,0.3907,0.1408,6.8336,1.4464,3.1316,0.9268,0.9586,0.9294,0.4476,0.1141,5.3628,7.3132,7.0157,0.7758,0.9366,0.7955
23,115920,0.3926,0.1357,6.7852,1.3937,3.0803,0.928,0.9591,0.9305,0.4275,0.1103,5.0522,7.1472,6.8276,0.7814,0.939,0.7999
24,120960,0.3823,0.1272,6.6657,1.3663,3.0241,0.9293,0.9598,0.9317,0.41,0.1079,4.8802,7.556,7.1479,0.7741,0.9378,0.7932
25,126000,0.3801,0.1259,6.5634,1.3339,2.9698,0.9306,0.9605,0.9329,0.4127,0.1056,4.8087,7.6222,7.1931,0.7733,0.9378,0.7923
26,131040,0.3795,0.1225,6.3546,1.3752,2.9329,0.9314,0.9614,0.9338,0.4133,0.105,4.7047,7.6528,7.2031,0.7733,0.9382,0.7922
27,136080,0.3762,0.1187,6.3372,1.3398,2.9031,0.9321,0.9616,0.9344,0.4101,0.1016,4.6335,7.197,6.806,0.7832,0.9408,0.8008
28,141120,0.3749,0.1179,6.2136,1.4033,2.9081,0.932,0.9619,0.9343,0.4184,0.1013,4.5446,7.2578,6.8439,0.7825,0.941,0.8001
29,146160,0.3631,0.109,6.2058,1.341,2.8628,0.9331,0.9623,0.9353,0.4196,0.1,4.4623,7.168,6.7553,0.7849,0.9418,0.8021
30,151200,0.3608,0.1061,6.2773,1.2376,2.8142,0.9342,0.9624,0.9363,0.4263,0.1008,4.3366,7.2719,6.8242,0.7836,0.942,0.8007
31,156240,0.3648,0.1024,6.3277,1.201,2.8048,0.9344,0.9624,0.9365,0.4329,0.0978,4.2076,6.8777,6.4704,0.7927,0.9446,0.8086
32,161280,0.3615,0.101,6.215,1.2045,2.7719,0.9352,0.9629,0.9372,0.4151,0.0946,4.2177,6.5149,6.1645,0.8004,0.9463,0.8155
