scene,n_cells,n_cells_valid_gt,n_cells_with_return,n_cells_had_ground,n_cells_err_valid,alpha_metres,rmse_m,mae_m,bias_m,p95_abs_err_m,frac_within_20cm,frac_within_50cm,rmse_ground_m,rmse_nonground_m,n_err_ground,n_err_nonground,n_cells_cls_valid,n_gt_ground,n_gt_non_ground,n_fp,n_fn,e_t1_pct,e_t2_pct,e_tot_pct,e_t1_pct_logit,e_t2_pct_logit,e_tot_pct_logit
NU0444ne_P_12498_20220119_20220119,231768,116133,111811,105605,105584,0.20000000298023224,0.03171185031533241,0.020841354504227638,-0.012905558571219444,0.055648576468229294,0.9976322170025761,0.9999905288680103,0.02412378042936325,0.08803277462720871,99343,6241,111778,103952,7826,470,86,6.005622284692052,0.08273049099584423,0.49741451806258835,4.842831587017634,0.6291365245497922,0.924153232299737
NU0445ne_P_12498_20220119_20220119,1000000,989812,986845,922618,922579,0.20000000298023224,0.030198413878679276,0.014393522404134274,0.005813904572278261,0.038543056696653366,0.9973845058255174,0.9995230760726181,0.027611130848526955,0.08722847700119019,902424,20155,986794,926536,60258,5411,4604,8.979720535032692,0.4969045994974831,1.014902806462139,10.506488764977265,0.511043283801169,1.1214093316335527
NU0445nw_P_12498_20220119_20220119,320796,160556,156184,152186,152163,0.20000000298023224,0.020537907257676125,0.011984889395534992,0.007445977069437504,0.029593277722597122,0.999309950513594,0.9998488463029778,0.015736278146505356,0.22250789403915405,151625,538,156139,153731,2408,385,77,15.988372093023257,0.05008749048662924,0.295890200398363,14.617940199335548,0.09171865141058082,0.3157443047540973
NU0445se_P_12498_20220119_20220119,898000,626798,617437,576049,575946,0.20000000298023224,0.029004773125052452,0.014630095101892948,0.005014692898839712,0.044749677181243896,0.997477194042497,0.9996978883436989,0.024237293750047684,0.09757126122713089,559580,16366,617318,583227,34091,5069,2768,14.869027015927957,0.47460079865987,1.2695239730576462,18.518083951776127,0.31445732107738494,1.3197412030752385
NU0446se_P_12498_20220119_20220119,996000,826820,799517,764303,764171,0.20000000298023224,0.03311546891927719,0.018231509253382683,0.005286240018904209,0.05340242385864258,0.9965413500381459,0.9996741567005291,0.029746949672698975,0.08764458447694778,740363,23808,799250,753082,46168,7978,9142,17.280367354011435,1.21394482938113,2.142008132624335,31.79908161497141,0.8964495234250719,2.681513919299343
NU0446sw_P_12498_20220119_20220119,313698,210701,208172,199317,198992,0.20000000298023224,0.024963920935988426,0.012057927437126637,0.005590713117271662,0.03305170685052872,0.9975124628125753,0.9999145694299268,0.022103669121861458,0.09917593747377396,196126,2866,207790,200194,7596,1309,913,17.23275408109531,0.45605762410461853,1.069348861831657,22.840968931016324,0.3641467776257031,1.185812599258867
NU0542ne_P_12498_20220119_20220119,857000,593579,569481,549739,549723,0.20000000298023224,0.029928555712103844,0.018088381737470627,0.004452860914170742,0.05909233167767525,0.9983391635423658,0.9999363315706273,0.0220508873462677,0.061270590871572495,480840,68883,569464,486821,82643,2194,1319,2.654792299408298,0.27094147540882585,0.6168958880631612,3.3771765303776484,1.8035376452535943,2.0319107090176027
NU0542se_P_12498_20220119_20220119,196084,98198,92510,90515,90511,0.20000000298023224,0.015607289969921112,0.011063093319535255,0.0078463489189744,0.02870631217956543,0.9998232259062434,0.9999889516191403,0.014523806050419807,0.058714430779218674,89598,913,92502,90652,1850,177,52,9.567567567567568,0.05736222035917575,0.2475622148710298,12.756756756756756,0.03640294753563077,0.2908045231454455
NU0543ne_P_12498_20220119_20220119,1000000,999999,998692,942836,942835,0.20000000298023224,0.032290611416101456,0.020334893837571144,0.011511587537825108,0.058864593505859375,0.9974682738761289,0.9999469684515319,0.026059530675411224,0.07099241763353348,864226,78609,998691,873856,124835,5630,5436,4.509953138142348,0.6220704555441628,1.1080504380233727,5.174830776625146,0.5256014720960891,1.1067487340929276
NU0543nw_P_12498_20220119_20220119,919000,650057,645206,609442,609392,0.20000000298023224,0.030713891610503197,0.015417524613440037,0.00460935290902853,0.05378692224621773,0.9966294273636674,0.9998703625909103,0.022299308329820633,0.06501830369234085,536515,72877,645081,541683,103398,2398,3834,2.3191937948509644,0.7077940419027364,0.9660802286844598,3.150931352637382,0.5261379810701092,0.9468578364577471
NU0543se_P_12498_20220119_20220119,1000000,980985,979894,951217,951177,0.20000000298023224,0.027469195425510406,0.013483348302543163,0.005279126577079296,0.04332857206463814,0.9977774904145075,0.9997623996375018,0.020185206085443497,0.07351133227348328,885097,66080,979847,891455,88392,3179,3633,3.5964793193954203,0.4075359945258033,0.6952105787944445,3.55462032763146,0.49200464409308375,0.7682832115626215
NU0543sw_P_12498_20220119_20220119,276696,139666,136297,135525,135475,0.20000000298023224,0.007816091179847717,0.005509051959961653,-0.0015743746189400554,0.015393733978271484,1.0,1.0,0.007772212382405996,0.038548652082681656,135410,65,136245,135650,595,16,82,2.689075630252101,0.06044968669369701,0.07192924510991229,0.0,0.2425359380759307,0.24147675144041983
NU0544ne_P_12498_20220119_20220119,1000000,999998,999785,977442,977440,0.20000000298023224,0.022529523819684982,0.014223492704331875,0.008155131712555885,0.03672528266906738,0.9989472499590768,0.999961122933377,0.01888631284236908,0.08365917205810547,955236,22204,999783,964013,35770,1891,1924,5.286552977355326,0.19958237077715757,0.3815828034683526,5.401174168297456,0.2622371275076166,0.4460968030062524
NU0544nw_P_12498_20220119_20220119,1000000,973438,970173,910693,910646,0.20000000298023224,0.040203507989645004,0.02190256677567959,0.004220219328999519,0.05921733379364014,0.9939383690259442,0.9993059871783327,0.03591625392436981,0.07031957805156708,829334,81312,970120,855103,115017,8213,9044,7.140683551127225,1.0576503649267983,1.7788521007710387,8.927375953119974,1.2513112455458582,2.1613820970601574
NU0544se_P_12498_20220119_20220119,1000000,999999,999903,971971,971970,0.20000000298023224,0.030175667256116867,0.017703380435705185,0.007503435481339693,0.04368795081973076,0.996855870037141,0.9998528761175757,0.02566307969391346,0.09340948611497879,941609,30361,999902,949061,50841,6478,7006,12.741684860643968,0.7382033399328389,1.3485321561513028,17.20658523632501,0.5710907939531811,1.4169388600082808
NU0544sw_P_12498_20220119_20220119,995000,922332,736138,680026,680018,0.20000000298023224,0.03987407684326172,0.021431200206279755,0.0036893170326948166,0.07783744484186172,0.9943001508783591,0.9997485360681629,0.031166445463895798,0.07087261974811554,576193,103825,735892,593926,141966,3852,6254,2.7133257258780272,1.0529931338247527,1.3732993428383513,2.9408449910541963,1.2112620090718373,1.5449277883167638
NU0545ne_P_12498_20220119_20220119,1000000,999999,996116,878331,878330,0.20000000298023224,0.04386375471949577,0.02601325511932373,-0.007436799351125956,0.07991578429937363,0.9941297689934308,0.9995354821080915,0.03823329508304596,0.07862032949924469,792301,86029,996115,841671,154444,33197,62663,21.494522286395068,7.445070579834638,9.623386857943109,14.137810468519334,19.112574865951185,18.34125577870025
