scene_id,os_grid_pair,os_grid_ref,laz_path,laz_exists,laz_size_mb,laz_point_count,laz_readable,scene_marker_path,scene_marker_exists,split,dsm_height,dsm_width,n_valid,valid_fraction,n_tiles,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,centre_lat,centre_lon,gsd
EN_NX9212_P_12706_20220902_20220902,NX,NX9212,/data/data/england_raw/NX9212_P_12706_20220902_20220902.copc.laz,True,0.07,11792,True,/data/england_tiles/train/EN_NX9212_P_12706_20220902_20220902/_scene_EN_NX9212_P_12706_20220902_20220902.npz,True,train,691,522,11761,0.0326,3,293739.0,513654.5,294000.0,514000.0,54.508606,-3.640669,0.5
EN_NX9212_P_12707_20220901_20220901,NX,NX9212,/data/data/england_raw/NX9212_P_12707_20220901_20220901.copc.laz,True,1.43,324566,True,/data/england_tiles/train/EN_NX9212_P_12707_20220901_20220901/_scene_EN_NX9212_P_12707_20220901_20220901.npz,True,train,1876,817,323060,0.2108,26,293591.5,513062.0,294000.0,514000.0,54.50593,-3.641701,0.5
EN_NX9214_P_12706_20220902_20220902,NX,NX9214,/data/data/england_raw/NX9214_P_12706_20220902_20220902.copc.laz,True,1.61,271359,True,/data/england_tiles/train/EN_NX9214_P_12706_20220902_20220902/_scene_EN_NX9214_P_12706_20220902_20220902.npz,True,train,1794,981,263311,0.1496,19,293509.5,514000.0,294000.0,514897.0,54.514163,-3.642665,0.5
EN_NX9214_P_12707_20220901_20220901,NX,NX9214,/data/data/england_raw/NX9214_P_12707_20220901_20220901.copc.laz,True,1.03,151006,True,/data/england_tiles/train/EN_NX9214_P_12707_20220901_20220901/_scene_EN_NX9214_P_12707_20220901_20220901.npz,True,train,2634,569,146365,0.0977,19,293715.5,514000.0,294000.0,515317.0,54.516071,-3.64115,0.5
EN_NY1252_P_12709_20220902_20220902,NY,NY1252,/data/data/england_raw/NY1252_P_12709_20220902_20220902.copc.laz,True,9.07,2427193,True,/data/england_tiles/train/EN_NY1252_P_12709_20220902_20220902/_scene_EN_NY1252_P_12709_20220902_20220902.npz,True,train,3482,2405,2160407,0.258,91,312000.0,552259.0,313202.5,554000.0,54.865281,-3.363248,0.5
EN_NY1254_P_12709_20220902_20220902,NY,NY1254,/data/data/england_raw/NY1254_P_12709_20220902_20220902.copc.laz,True,33.3,7277796,True,/data/england_tiles/train/EN_NY1254_P_12709_20220902_20220902/_scene_EN_NY1254_P_12709_20220902_20220902.npz,True,train,4000,4000,6042790,0.3777,212,312000.0,554000.0,314000.0,556000.0,54.882154,-3.357602,0.5
EN_NY1256_P_12709_20220902_20220902,NY,NY1256,/data/data/england_raw/NY1256_P_12709_20220902_20220902.copc.laz,True,25.68,6654792,True,/data/england_tiles/train/EN_NY1256_P_12709_20220902_20220902/_scene_EN_NY1256_P_12709_20220902_20220902.npz,True,train,3951,4000,5576111,0.3528,206,312000.0,556000.0,314000.0,557975.5,54.900012,-3.358203,0.5
EN_SD1276_P_12705_20220928_20220928,SD,SD1276,/data/data/england_raw/SD1276_P_12705_20220928_20220928.copc.laz,True,7.72,2109993,True,/data/england_tiles/train/EN_SD1276_P_12705_20220928_20220928/_scene_EN_SD1276_P_12705_20220928_20220928.npz,True,train,1986,3219,1819671,0.2846,78,312390.5,477007.0,314000.0,478000.0,54.185931,-3.331692,0.5
EN_SD1278_P_12705_20220928_20220928,SD,SD1278,/data/data/england_raw/SD1278_P_12705_20220928_20220928.copc.laz,True,30.77,7598768,True,/data/england_tiles/train/EN_SD1278_P_12705_20220928_20220928/_scene_EN_SD1278_P_12705_20220928_20220928.npz,True,train,4000,4000,6551536,0.4095,231,312000.0,478000.0,314000.0,480000.0,54.199343,-3.335117,0.5
EN_SD1280_P_12705_20220928_20220928,SD,SD1280,/data/data/england_raw/SD1280_P_12705_20220928_20220928.copc.laz,True,20.32,4707005,True,/data/england_tiles/test/EN_SD1280_P_12705_20220928_20220928/_scene_EN_SD1280_P_12705_20220928_20220928.npz,True,test,4000,3266,4091675,0.3132,152,312000.0,480000.0,313633.0,482000.0,54.217282,-3.33851,0.5
